id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,host_id
564719970419673814,2Story 3+den townhouse by the CN Tower SLEEPS 12+,Waterfront Communities-The Island,43.63918971371126,-79.39876722100246,Entire condominium (condo),Entire home/apt,16,3.0,5.0,832.0,1,365,,,,,,,,False,444247899
564754835418130119,2 Double Bed Spacious High Ceiling 40th Floor,Waterfront Communities-The Island,43.63969688262357,-79.39810633232405,Entire condominium (condo),Entire home/apt,6,1.0,2.0,500.0,1,365,,,,,,,,False,444525886
565174062430954784,Contemporary 1 bedroom + den condo steps to subway,Islington-City Centre West,43.640718050049465,-79.52747967885131,Entire condominium (condo),Entire home/apt,4,1.0,2.0,104.0,28,365,,,,,,,,False,211854911
565243539099970000,Couple's getaway 1BR modern suite close to ❤ of DT,Stonegate-Queensway,43.63441,-79.48664,Entire bungalow,Entire home/apt,3,1.0,2.0,111.0,1,30,,,,,,,,False,12187230
565274681681011864,Relax room on the Danforth,Greenwood-Coxwell,43.681202576293295,-79.32569759056545,Private room in residential home,Private room,2,1.0,1.0,44.0,28,365,,,,,,,,False,8303209
565292265417090352,"Brand new 2 bed, 2 bath, plus office. Lake views.",Mimico (includes Humber Bay Shores),43.62435916412151,-79.48016963385108,Entire condominium (condo),Entire home/apt,4,2.0,2.0,279.0,28,365,,,,,,,,False,210718700
565292819898344581,Charming room on the Danforth,Greenwood-Coxwell,43.68188,-79.32571,Private room in residential home,Private room,1,1.0,1.0,40.0,28,365,,,,,,,,False,8303209
565319433847399858,New room near York University,York University Heights,43.76768106279382,-79.49590051240125,Private room in residential home,Private room,1,1.0,1.0,69.0,1,120,,,,,,,,True,325656364
565376574255251436,Private Studio Apartment in Toronto FREE PARKING,Wexford/Maryvale,43.74183859727867,-79.29662138014741,Entire rental unit,Entire home/apt,4,,2.0,84.0,1,60,,,,,,,,False,342090549
565384075754284383,Cozy Bedroom Kensington Market Downtown Toronto,Kensington-Chinatown,43.65595147724646,-79.3998017821073,Private room in residential home,Private room,1,1.0,1.0,35.0,1,60,,,,,,,,False,344709977
565453955547426318,Main Level Room With Private Washroom/2 Can Stay,Don Valley Village,43.78535853342908,-79.35091975489154,Private room in townhouse,Private room,2,1.0,1.0,38.0,28,365,,,,,,,,False,433868222
565460425985651337,Private Room/Washroom&Kitchen  Shared With 1 Other,Don Valley Village,43.78529,-79.34903,Private room in townhouse,Private room,1,1.0,1.0,34.0,28,365,,,,,,,,False,433868222
